Mon,Tue,Wed,Thu,Fri
3.074932494906088e-5,5.711170773042372e-4,1.2910059600661404e-4,1.5652229262540725e-4,4.783001620142928e-4
7.398047655587383e-5,2.262980839625247e-4,3.6591632620725813e-4,1.733592762979647e-4,5.622908370170317e-4
1.3684861788392267e-4,3.6222509836983743e-4,2.1825199782377373e-4,1.6732957615120048e-4,2.2573903236478734e-4
1.1536488180918798e-4,2.0042246464765354e-4,2.9182230247843896e-4,1.1918036098517083e-4,5.148152694132095e-4
1.5762367621094845e-4,1.8397292273880438e-4,5.217635265344537e-5,7.156580118074972e-5,2.846890641257999e-4
-8.451220740990859e-5,1.4213327588785303e-5,8.925541290643384e-5,-1.928574260655176e-5,-3.0521333537040585e-5
1.2393447665528146e-4,3.263832213103946e-4,2.8287852526821784e-4,8.90228462575679e-5,1.888778136319196e-4
6.097092637415896e-5,-3.096162092160565e-4,-1.4867016563211121e-5,1.2302674550290708e-4,-4.212708522747139e-5
1.4577528457192964e-4,3.9887637733215716e-4,3.911680078743079e-4,1.7273517619731182e-4,4.7992279919844015e-5
8.913422464912584e-5,-1.15011601130281e-4,1.8891469375915946e-4,-2.1587135954627203e-5,1.9426204831952758e-4
2.3126320622467433e-4,3.21723878432916e-5,3.571508858194965e-4,1.955074799431745e-4,5.459229156819538e-4
1.463893489103862e-4,1.893762787827857e-4,2.306401281962936e-4,2.262729107623441e-4,3.817640932922369e-4
8.770097638935006e-5,4.2088586195205646e-4,3.265499643533392e-4,2.255892387615033e-5,4.482230508045368e-4
4.3073629950275184e-5,2.7032858396039633e-4,6.65478917371948e-5,1.317860806043074e-4,3.3074251805102447e-4
2.3001839078986669e-4,-1.6933281443431834e-4,1.6124726750901003e-4,1.8101011256722112e-5,2.588210054203088e-4
1.1902331061965042e-4,-3.7218629378775117e-4,6.633931000254233e-5,-3.798305887874173e-6,-8.791983223907008e-5
7.045655796422904e-5,3.518157718926465e-4,1.5352298237323995e-4,4.5724156994365395e-5,4.910069241831615e-5
1.1109207050837609e-4,-2.4046010145536208e-4,1.66592374610255e-4,2.1590796282361082e-4,2.4376241593404284e-4
1.237744171850862e-4,2.4197959042167132e-4,3.0129491271842213e-4,1.1191586856744914e-4,4.754308451901391e-4
2.184720401662621e-4,2.5181346338660544e-4,3.2189696174895566e-4,2.7808550379552075e-5,5.197699042387441e-4
1.8487557170107887e-4,1.4673846726778048e-4,1.9837792167695978e-4,6.785980426759541e-5,7.510252943715052e-5
1.4094695168825205e-4,8.131140465180212e-5,3.7478831145373393e-4,1.2542619589097427e-4,1.2505410864006899e-4
1.7770657117708298e-6,-4.778051871880988e-4,2.611482788194067e-4,-6.459543005458384e-5,1.5024077158224406e-4
-2.5703100432104644e-5,9.401363304542384e-5,1.0784898871571912e-4,-6.173443770691031e-5,2.620289476976538e-4
2.2749497753064873e-4,1.1978911253748915e-4,3.398860500299144e-4,1.5194424062979313e-4,3.0983703801092084e-4
-4.4265357245944846e-5,1.8026143806557134e-4,3.080356303176217e-5,-1.220876462626994e-4,-1.9086691907178877e-5
-2.4458899625626058e-5,-1.8041857265967148e-4,2.0007305492191304e-4,-7.25009516084966e-5,8.668502883161916e-4
1.2271010697330852e-4,3.2166516334025005e-5,2.1333875005435156e-4,1.0556646528147315e-4,8.252167713036174e-5
1.6886824199755033e-4,-3.421276537638318e-5,6.483996782528624e-5,8.253987248092215e-5,1.1080336357972379e-4
5.504706529122468e-5,-1.2728147988991972e-4,1.5986550291124778e-4,1.7346575696135358e-4,4.5311212476766927e-4
1.1134053277455502e-4,3.506851480023998e-4,2.107727162124442e-5,-1.6347934401588992e-5,-1.252693772512108e-4
1.4955548595560318e-6,4.3872739515143797e-4,1.4971434595892994e-4,-7.948298465054388e-6,3.7796993107485873e-4
1.313734323244189e-4,-8.757597062471422e-5,1.0545299664546515e-4,2.0809537041332186e-4,1.0726871215119521e-4
1.720144519688043e-4,8.987577040994178e-5,2.652868095028863e-4,9.34967144457242e-5,-1.640802797799493e-4
1.5851563788849178e-6,7.761513406670805e-5,1.9420012826513585e-4,1.246997000707726e-4,5.185300238111496e-4
1.8150151755194613e-4,2.1144947792747405e-4,2.8917162698814187e-4,1.1428817406591212e-5,3.021180648193799e-4
8.126785384249484e-5,4.0273614757300975e-4,1.2206013963922604e-4,6.242203110984744e-5,3.1299587611852505e-4
1.1522723400443214e-4,-3.7851606569329707e-4,-2.9136169682579728e-5,5.6158327250669366e-5,1.7789595700644056e-4
1.093623867570241e-4,2.1604938276427154e-4,1.272060260402631e-4,6.4573360808972e-5,8.528719840722581e-5
-2.6843395026445474e-6,4.546196596696059e-4,1.7035038901497108e-4,9.979271445028907e-5,1.751678678970663e-4
1.293329979782591e-4,-3.5401591971440864e-4,1.956490291796996e-4,1.3533335467326234e-4,4.9882892148092335e-5
7.657664531741029e-5,-2.6272072349631253e-4,3.582326761900611e-4,-6.38969425676333e-5,2.461178297560188e-4
1.514241484307732e-4,-1.3275969830510605e-4,1.9331796986611584e-4,2.6691941040897488e-5,1.7496429423272336e-4
1.2430715695244365e-4,1.456379652982186e-4,1.2069426005163244e-4,1.1684606942228748e-4,2.4938924748262487e-5
2.1138879602060074e-4,-1.0795512392605695e-4,1.0426511152527935e-4,1.4926207492253874e-4,6.73653669959802e-4
6.5573820310388e-5,8.12578557494148e-5,1.9826378216428842e-4,1.629688425612696e-4,5.283521015380459e-4
8.731214130565826e-5,6.255718355103551e-5,3.050818099323178e-4,2.325096453366114e-4,6.155423735283868e-4
8.272370636813216e-5,9.67864546854374e-5,2.1539341891808786e-4,-1.4872177616397761e-5,1.61228946922456e-4
7.139220259912375e-5,3.1567998387856296e-4,2.362192164959688e-4,3.874827104780988e-5,3.363065859884291e-4
7.139766659678925e-5,1.9899358886054847e-5,3.621365493097661e-4,4.399886621405276e-5,2.055627404050462e-4
1.720677018386804e-4,-7.949197527883928e-5,7.18135395937426e-5,7.44725785416069e-5,2.8194993840228533e-4
2.0941220683695882e-4,2.4192420476711822e-4,1.013676423972047e-4,2.0229622177987832e-4,-5.0671513322943576e-5
1.5091014491730865e-4,3.2096962071400797e-4,1.9569511075604205e-4,1.9665772199102646e-4,-1.2433201857511036e-4
7.623212795998839e-5,1.8972332272613129e-4,2.5086107966173734e-4,1.116942013353087e-4,-1.5170850103935873e-4
4.9340846426730794e-5,2.3716092039079758e-4,1.6997068883345656e-4,2.7341379549306234e-4,-5.004215217552962e-4
6.819342927573669e-5,-1.0340600861833136e-4,2.2022861264549284e-4,1.7773775434741756e-4,1.506546716235163e-4
9.951375033257555e-5,-5.38729919975006e-5,1.670239587734591e-4,2.735810143511851e-4,2.8898569449433716e-4
1.462699257038039e-4,1.6724421443398602e-4,9.818584651031921e-5,1.8111941932981923e-4,2.0427214268069232e-4
2.6673839258254366e-4,5.6539751694690524e-5,6.402607274157677e-5,1.1581770100941814e-4,2.651471957178096e-4
1.6169339721020957e-4,1.2703182120486642e-4,2.1337383303010935e-4,1.0307656497088953e-4,-1.280910505042136e-4
-4.961288557237316e-5,-8.451645534880695e-6,1.5105190521515322e-4,2.270640994767426e-5,5.400676217880766e-4
9.098542994334491e-5,2.735603227619659e-4,1.7765964000921342e-4,3.1410963861848e-5,1.9974317650227146e-4
8.139529216681906e-5,1.546358722228414e-4,2.719809041196745e-4,5.3371297023959045e-5,-2.381795382960046e-6
2.088043594210597e-4,-1.7824758660652375e-4,3.7672350964008375e-4,4.0010837173245805e-5,1.9949428723588995e-4
7.981728551614272e-5,1.2498351934646861e-4,2.15373715200212e-4,1.1291956876740387e-4,4.2988541695053743e-4
1.1973577114239819e-4,-7.391704240204321e-5,1.424238955857996e-4,1.2524112300931622e-4,3.6683543544749537e-4
3.1575187867129823e-4,8.55996471225747e-5,2.310023640375564e-4,5.1921650353124036e-5,4.15712956579334e-4
